Jenis_Kelamin,Umur,SIM,Kode_Daerah,Sudah_Asuransi,Umur_Kendaraan,Kendaraan_Rusak,Premi,Kanal_Penjualan,Lama_Berlangganan,Tertarik,Prediksi
1,49,1,8,0,1,1,46963.0,26,145,0,0.0
0,22,1,47,1,0,0,39624.0,152,241,0,0.0
0,46,1,8,1,1,0,36266.0,124,34,0,0.0
0,35,1,23,0,1,1,26963.0,152,229,0,0.0
0,26,1,28,1,0,0,42721.0,152,198,0,0.0
1,40,1,28,0,1,1,30981.0,26,79,0,0.0
0,23,1,15,1,0,0,32365.0,152,219,0,0.0
0,28,1,46,1,0,0,25657.0,152,133,0,0.0
0,24,1,21,1,0,0,35817.0,152,35,0,0.0
1,21,1,22,1,0,0,29404.0,160,249,0,0.0
1,23,1,36,0,0,1,36266.0,152,235,0,0.0
0,21,1,36,1,0,0,2630.0,152,93,0,0.0
1,22,1,21,1,0,0,44554.0,152,224,0,0.0
0,22,1,4,1,0,0,41897.0,152,265,0,0.0
0,50,1,46,0,1,1,32127.0,154,10,1,0.0
0,56,1,28,0,2,1,53157.0,26,15,1,1.0
0,75,1,12,1,1,0,22910.0,124,16,0,0.0
1,52,1,28,0,1,1,40796.0,122,187,1,0.0
0,27,1,42,1,0,0,38495.0,26,127,0,0.0
1,55,1,11,1,1,0,31819.0,120,195,0,0.0
0,53,1,28,0,1,1,27305.0,124,13,0,0.0
1,26,1,25,0,0,0,16230.0,152,15,0,0.0
0,52,1,30,0,1,1,2630.0,152,144,0,0.0
0,25,1,39,1,0,0,2630.0,152,149,0,0.0
0,73,1,28,0,1,1,29976.0,26,116,0,0.0
1,22,1,11,1,0,0,35343.0,152,93,0,0.0
1,75,1,28,1,1,0,31252.0,23,13,0,0.0
1,22,1,26,0,0,1,2630.0,152,74,0,0.0
0,65,1,28,1,1,0,2630.0,60,83,0,0.0
0,55,1,50,1,1,0,45836.0,26,184,0,0.0
0,23,1,32,0,0,1,2630.0,152,158,0,0.0
0,28,1,10,1,0,0,2630.0,152,65,0,0.0
0,36,1,28,0,1,1,36573.0,26,261,0,0.0
1,23,1,30,1,0,0,53635.0,152,99,0,0.0
0,28,1,11,0,0,1,27091.0,152,87,0,0.0
1,22,1,9,0,0,1,42427.0,152,134,0,0.0
0,35,1,28,0,2,1,35161.0,124,193,1,0.0
1,64,1,39,0,1,1,25026.0,124,172,0,0.0
1,47,1,28,0,1,1,38574.0,26,24,1,1.0
0,38,1,50,0,1,1,32001.0,124,63,1,0.0
0,26,1,37,0,0,1,36804.0,26,290,0,0.0
0,42,1,28,0,1,1,48320.0,122,69,0,0.0
1,25,1,28,1,0,0,48092.0,152,194,0,0.0
0,25,1,29,1,0,0,41741.0,152,116,0,0.0
0,47,1,39,0,1,0,34202.0,26,267,0,0.0
1,24,1,41,0,0,1,36263.0,152,77,1,0.0
1,43,1,28,0,1,1,49260.0,26,161,0,0.0
1,31,1,11,1,0,0,26121.0,152,255,0,0.0
1,28,1,41,1,0,0,38120.0,152,279,0,0.0
1,23,1,33,1,0,0,31781.0,152,100,0,0.0
0,22,1,2,1,0,0,18817.0,152,236,0,0.0
1,44,1,25,0,1,1,27400.0,124,222,0,0.0
1,49,1,41,0,2,1,2630.0,124,56,0,0.0
1,65,1,28,0,1,1,2630.0,124,157,0,0.0
0,35,1,36,1,1,0,21783.0,152,56,0,0.0
0,64,1,31,1,1,1,2630.0,9,253,0,0.0
0,27,1,15,0,0,1,50611.0,152,259,0,0.0
0,41,1,35,0,1,1,24694.0,154,291,0,0.0
1,74,1,46,0,1,1,2630.0,156,206,0,0.0
0,20,1,13,0,0,1,34710.0,160,199,0,0.0
1,23,1,27,0,0,1,29296.0,152,214,0,0.0
0,35,1,45,1,1,0,32068.0,26,45,0,0.0
0,41,1,28,0,1,1,34794.0,60,30,0,1.0
0,41,1,28,1,1,0,38287.0,52,261,0,0.0
0,47,1,48,0,1,1,2630.0,124,13,0,0.0
1,44,1,28,0,2,1,48830.0,26,116,1,0.0
0,48,1,28,0,1,1,47373.0,26,95,0,0.0
1,45,1,28,0,1,1,26093.0,124,242,0,0.0
1,28,1,43,0,0,1,43415.0,152,205,0,0.0
1,44,1,41,0,1,1,38116.0,124,288,0,0.0
1,27,1,2,1,0,0,37883.0,152,70,0,0.0
0,24,1,34,0,0,0,18549.0,152,264,0,0.0
1,42,1,28,0,1,1,23315.0,124,186,0,0.0
1,22,1,18,1,0,0,33148.0,152,33,0,0.0
1,31,1,28,1,0,0,35963.0,152,25,0,0.0
0,43,1,28,0,2,1,41283.0,122,31,0,1.0
0,27,1,14,1,0,0,28288.0,152,199,0,0.0
0,44,1,48,0,1,1,2630.0,124,86,0,0.0
1,21,1,46,1,0,0,28866.0,160,15,0,0.0
0,29,1,28,0,1,0,2630.0,156,242,0,0.0
1,23,1,15,0,0,1,2630.0,152,161,0,0.0
1,48,1,36,1,1,0,36705.0,152,78,0,0.0
1,22,1,33,1,0,0,34220.0,152,186,0,0.0
1,24,1,24,1,0,0,18974.0,152,176,0,0.0
0,23,1,2,1,0,0,42366.0,152,151,0,0.0
0,51,1,29,1,1,0,28994.0,26,75,0,0.0
0,46,1,11,0,2,1,41990.0,91,165,0,0.0
0,26,1,30,0,0,1,2630.0,160,226,0,0.0
1,21,1,36,1,0,0,46510.0,152,90,0,0.0
